Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Oświęcimski Konstanty	PO	27	X37493	X29021	27	8402
Ożóg Stanisław	PiS	629	X37493	X29021	629	8402
Pacelt Zbigniew	PO	284	X37493	X29021	284	8402
Pahl Witold	PO	34	X37493	X29021	34	8402
Pająk Andrzej	PiS	8083	X37493	X37173	2	321
Palikot Janusz	niez.	4919	X34541	X29021	1985	5468
Paluch Anna	PiS	370	X37493	X29021	370	8402
Patalita Tadeusz	PO	6035	X37493	X35050	68	2435
Pawlak Mirosław	PSL	854	X37493	X29021	854	8402
Pawlak Waldemar	PSL	4759	X37492	X29021	4758	8401
Pawłowski Sylwester	SLD	4123	X37336	X32335	695	4974
Pałys Andrzej	PSL	1961	X37055	X29021	1523	7964
Piecha Bolesław Grzegorz	PiS	1069	X37363	X29021	939	8272
Piechociński Janusz	PSL	644	X37364	X29021	515	8273
Piechota Sławomir	PO	638	X37493	X29021	638	8402
Pierzchała Elżbieta	PO	165	X37493	X29021	165	8402
Pietraszewska Danuta	PO	360	X37493	X29021	360	8402
Pilch Jacek	PJN	1179	X37493	X29021	1179	8402
Piotrowska Teresa	PO	347	X37493	X29021	347	8402
Pisalski Grzegorz	PO	1293	X37493	X29023	1292	8401
Pitera Julia	PO	454	X37492	X29021	453	8401
Pięta Jarosław	PO	222	X37493	X29021	222	8402
Pięta Stanisław	PiS	431	X37492	X29021	430	8401
Plocke Kazimierz	PO	897	X37364	X29021	768	8273
Plura Marek	PO	825	X37493	X29021	825	8402
Pluta Mirosław	PO	7023	X37493	X36110	2	1381
Polaczek Jerzy	PiS	1052	X37364	X29021	923	8273
Polak Marek	PiS	93	X37493	X29021	93	8402
Polak Piotr	PiS	350	X37493	X29023	349	8401
Pomajda Wojciech	SLD	1629	X37493	X29021	1629	8402
Pomaska Agnieszka	PO	3717	X37492	X32372	408	5093
Poncyljusz Paweł	PJN	2504	X37493	X29021	2504	8402
Popiołek Krzysztof	PiS	847	X37493	X29021	847	8402
Preiss Sławomir	PO	106	X37493	X29021	106	8402
Prządka Stanisława	SLD	799	X37493	X29021	799	8402
Putra Krzysztof	PiS	3825	X33876	X29021	229	4806
Płażyński Maciej	niez.	5235	X33876	X29021	1639	4806
Raba Norbert	PO	486	X37493	X29021	486	8402
Racki Józef	PSL	234	X37493	X29021	234	8402
Raczkowski Damian	PO	607	X37493	X29021	607	8402
Radziszewska Elżbieta	PO	2062	X37493	X29021	2062	8402
Rafalska Elżbieta	PiS	601	X37364	X29021	472	8273
Rakoczy Stanisław	PSL	553	X37493	X29021	553	8402
Raniewicz Grzegorz	PO	392	X37493	X29021	392	8402
Raś Ireneusz	PO	345	X37493	X29021	345	8402
Redzimski Leszek	PO	5987	X37493	X35050	20	2435
Religa Jan	PJN	310	X37364	X29021	181	8273
Religa Zbigniew	PiS	6789	X31578	X29021	904	2517
Rogacki Adam	PiS	756	X37490	X29021	753	8399
Rojek Józef	PiS	289	X37493	X29021	289	8402
Rokita-Arnold Nelli	PiS	1271	X37493	X29023	1270	8401
Ross Tadeusz	PO	185	X37493	X29021	185	8402
Roszak Grzegorz	PO	123	X37493	X29021	123	8402
Rozpondek Halina	PO	332	X37493	X29021	332	8402
Rusiecki Jarosław	PiS	761	X37493	X29021	761	8402
Rusinowska Beata	PO	6065	X37493	X35050	98	2435
Rutkowska Dorota	PO	5983	X37493	X35050	16	2435
Rutnicki Jakub	PO	427	X37493	X29021	427	8402
Rybicki Arkadiusz	PO	3868	X33876	X29021	272	4806
Rybicki Sławomir	PO	186	X37493	X29021	186	8402
Rydzoń Stanisław	SLD	601	X37493	X29021	601	8402
Rygiel Wiesław	PSL	5067	X37493	X34028	110	3445
Rynasiewicz Zbigniew	PO	414	X37493	X29021	414	8402
Ryniak Monika	PiS	5317	X37493	X34028	360	3445
Ryszka Andrzej	PO	747	X37360	X29021	614	8269
Rzymełka Jan	PO	460	X37493	X29021	460	8402
Rząsa Marek	PO	3438	X37493	X32372	130	5094
Rębek Jerzy	PiS	298	X37493	X29021	298	8402
Sadurska Małgorzata	PiS	1218	X37493	X29021	1218	8402
Sawicki Marek	PSL	2925	X37493	X29021	2925	8402
Saługa Wojciech	PO	298	X37493	X29021	298	8402
Schetyna Grzegorz	PO	1218	X37493	X29021	1218	8402
Sekuła Mirosław	PO	137	X37493	X29021	137	8402
Seliga Dariusz	PiS	560	X37493	X29021	560	8402
